"110年03月05日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","290,853,126,798","4,738,594,922","1,967,080",
"2.台灣存託憑證","459,379,161","37,001,762","10,830",
"3.受益憑證","0","0","0",
"4.ETF","16,012,251,517","1,143,159,337","184,850",
"5.受益證券","2,125,315","167,101","76",
"6.變更交易股票","13,769,652","1,743,571","1,019",
"7.認購(售)權證","2,164,062,240","1,873,527,000","80,503",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","46,223,600","7,815,000","1,580",
"證券合計(1+6)","290,866,896,450","4,740,338,493","1,968,099",
"總計(1~13)","309,550,938,283","7,802,008,693","2,245,938",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","2,793(8)","267(7)",
"下跌(跌停)","6,473(113)","585(1)",
"持平","508","89",
"未成交","9,958","2",
"無比價","1,691","2",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

